id,URL,Col,Col_Standardized
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,status,INSTITUTIONAL and FINANCIAL
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,duration,INSTITUTIONAL and FINANCIAL
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,credit_history,INSTITUTIONAL and FINANCIAL
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,purpose,INSTITUTIONAL and FINANCIAL
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,amount,INSTITUTIONAL and FINANCIAL
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,savings,INSTITUTIONAL and FINANCIAL
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,employment_duration,SOCIOECONOMIC
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,installment_rate,INSTITUTIONAL and FINANCIAL
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,personal_status_sex,DEMOGRAPHIC
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,other_debtors,INSTITUTIONAL and FINANCIAL
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,present_residence,SOCIOECONOMIC
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,property,SOCIOECONOMIC
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,age,DEMOGRAPHIC
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,other_installment_plans,INSTITUTIONAL and FINANCIAL
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,housing,SOCIOECONOMIC
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,number_credits,INSTITUTIONAL and FINANCIAL
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,job,SOCIOECONOMIC
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,people_liable,SOCIOECONOMIC
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,telephone,UNCLASSIFIED
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,foreign_worker,SOCIOECONOMIC
CRED-002,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated,credit_risk,INSTITUTIONAL and FINANCIAL
CRED-024,https://www.openml.org/search?type=data&id=45577&sort=runs&status=active,SeriousDlqin2yrs,INSTITUTIONAL and FINANCIAL
CRED-024,https://www.openml.org/search?type=data&id=45577&sort=runs&status=active,RevolvingUtilizationOfUnsecuredLines,INSTITUTIONAL and FINANCIAL
CRED-024,https://www.openml.org/search?type=data&id=45577&sort=runs&status=active,age,DEMOGRAPHIC
CRED-024,https://www.openml.org/search?type=data&id=45577&sort=runs&status=active,NumberOfTime30-59DaysPastDueNotWorse,INSTITUTIONAL and FINANCIAL
CRED-024,https://www.openml.org/search?type=data&id=45577&sort=runs&status=active,DebtRatio,INSTITUTIONAL and FINANCIAL
CRED-024,https://www.openml.org/search?type=data&id=45577&sort=runs&status=active,MonthlyIncome,SOCIOECONOMIC
CRED-024,https://www.openml.org/search?type=data&id=45577&sort=runs&status=active,NumberOfOpenCreditLinesAndLoans,INSTITUTIONAL and FINANCIAL
CRED-024,https://www.openml.org/search?type=data&id=45577&sort=runs&status=active,NumberOfTimes90DaysLate,INSTITUTIONAL and FINANCIAL
CRED-024,https://www.openml.org/search?type=data&id=45577&sort=runs&status=active,NumberRealEstateLoansOrLines,INSTITUTIONAL and FINANCIAL
CRED-024,https://www.openml.org/search?type=data&id=45577&sort=runs&status=active,NumberOfTime60-89DaysPastDueNotWorse,INSTITUTIONAL and FINANCIAL
CRED-024,https://www.openml.org/search?type=data&id=45577&sort=runs&status=active,NumberOfDependents,SOCIOECONOMIC
CRED-027,https://www.kaggle.com/datasets/laotse/credit-risk-dataset,person_age,DEMOGRAPHIC
CRED-027,https://www.kaggle.com/datasets/laotse/credit-risk-dataset,person_income,SOCIOECONOMIC
CRED-027,https://www.kaggle.com/datasets/laotse/credit-risk-dataset,person_home_ownership,SOCIOECONOMIC
CRED-027,https://www.kaggle.com/datasets/laotse/credit-risk-dataset,person_emp_length,SOCIOECONOMIC
CRED-027,https://www.kaggle.com/datasets/laotse/credit-risk-dataset,loan_intent,INSTITUTIONAL and FINANCIAL
CRED-027,https://www.kaggle.com/datasets/laotse/credit-risk-dataset,loan_grade,INSTITUTIONAL and FINANCIAL
CRED-027,https://www.kaggle.com/datasets/laotse/credit-risk-dataset,loan_amnt,INSTITUTIONAL and FINANCIAL
CRED-027,https://www.kaggle.com/datasets/laotse/credit-risk-dataset,loan_int_rate,INSTITUTIONAL and FINANCIAL
CRED-027,https://www.kaggle.com/datasets/laotse/credit-risk-dataset,loan_status,INSTITUTIONAL and FINANCIAL
CRED-027,https://www.kaggle.com/datasets/laotse/credit-risk-dataset,loan_percent_income,INSTITUTIONAL and FINANCIAL
CRED-027,https://www.kaggle.com/datasets/laotse/credit-risk-dataset,cb_person_default_on_file,INSTITUTIONAL and FINANCIAL
CRED-027,https://www.kaggle.com/datasets/laotse/credit-risk-dataset,cb_person_cred_hist_length,INSTITUTIONAL and FINANCIAL
CRED-028,https://www.kaggle.com/datasets/saurabhbagchi/dish-network-hackathon,ID,UNCLASSIFIED
CRED-028,https://www.kaggle.com/datasets/saurabhbagchi/dish-network-hackathon,Client_Income,SOCIOECONOMIC
CRED-028,https://www.kaggle.com/datasets/saurabhbagchi/dish-network-hackathon,Car_Owned,SOCIOECONOMIC
CRED-028,https://www.kaggle.com/datasets/saurabhbagchi/dish-network-hackathon,Bike_Owned,SOCIOECONOMIC
